,subject,iteration,session,offline_dist,best_strength_1,best_strength_2,best_strength_3,best_strength_4,best_decayconstant_1,best_decayconstant_2,best_decayconstant_3,best_decayconstant_4,intercept,spatial_distance_coef,repetition_coef,error_coef,posterror_coef,prob_coef,NLL
22,101,1,11,0,12.208464352595858,12.208464352595858,12.208464352595858,12.208464352595858,38.55559427544779,38.55559427544779,38.55559427544779,38.55559427544779,235.11763162442844,20.22042473613039,1.717714099859079,-26.613905246554815,1.5561971025735053,33.46800741957216,-4017.072939407892
23,101,1,12,0,22.752410681502635,22.752410681502635,22.752410681502635,22.752410681502635,43.130433493221,43.130433493221,43.130433493221,43.130433493221,219.1480193816228,18.86084212964759,0.811022028662145,-32.64887433416305,5.964816434290985,42.14569332310225,-3838.286683106732
24,102,0,1,0,3.583588047013997,3.583588047013997,3.583588047013997,3.583588047013997,49.378164475567566,49.378164475567566,49.378164475567566,49.378164475567566,392.37013390918133,5.003852350387022,-36.68556160110843,-74.58391859392442,16.115059761053555,7.497931770671963,-690.3156243559536
25,102,0,2,0,15.630972393535608,15.630972393535608,15.630972393535608,15.630972393535608,53.541160568138416,53.541160568138416,53.541160568138416,53.541160568138416,342.42770923175834,10.434760945594745,-14.528980562917734,-39.498255674143266,-5.687867434590627,24.743440399421537,-668.1682347596885
26,102,0,3,0,5.760853641493647,5.760853641493647,5.760853641493647,5.760853641493647,34.6854840012056,34.6854840012056,34.6854840012056,34.6854840012056,325.1994250079075,11.7370160529904,-0.8027166951715135,-15.09931059971406,18.671094165064524,16.422692293231595,-770.6602021546678
27,102,0,4,0,4.3068675410466755,4.3068675410466755,4.3068675410466755,4.3068675410466755,35.19330644522107,35.19330644522107,35.19330644522107,35.19330644522107,354.04646895214415,4.689694630902131,-6.459953173218286,-22.119284762919165,-5.043873681573658,4.576453921040972,-765.8578758351831
28,102,0,5,0,3.6438422223041673,3.6438422223041673,3.6438422223041673,3.6438422223041673,54.315429846511286,54.315429846511286,54.315429846511286,54.315429846511286,389.1666114549056,-6.3521148950941315,-37.49206341616264,-5.3529361324774865,-9.816249188126081,-2.4306334767454345,-771.844506142871
29,102,0,6,0,25.51416132930556,25.51416132930556,25.51416132930556,25.51416132930556,64.02028061447646,64.02028061447646,64.02028061447646,64.02028061447646,309.91168528630027,1.3380071705416123,-20.38845890198645,-14.655627295175885,4.049505658908701,24.734177853067305,-4284.475707388099
30,102,0,7,0,31.452836426689235,31.452836426689235,31.452836426689235,31.452836426689235,30.69623637456,30.69623637456,30.69623637456,30.69623637456,270.2560616086852,-5.530321154649333,-42.5059965743725,-16.236720580720206,1.5734542638380236,52.4786961663712,-4358.631187009702
31,102,0,8,0,6.746692807149479,6.746692807149479,6.746692807149479,6.746692807149479,33.439529332036045,33.439529332036045,33.439529332036045,33.439529332036045,287.24474554995544,-3.956767654022663,-37.828492038702954,-21.376988950892652,0.27978183424282177,24.230977079539592,-4448.386827374744
